Year,Champion,Runner-up,Score
2025,Jannik Sinner (ITA),Alexander Zverev (GER),6-3 7-6(4) 6-3
2024,Jannik Sinner (ITA),Daniil Medvedev,3-6 3-6 6-4 6-4 6-3
2023,Novak Djokovic (SRB),Stefanos Tsitsipas (GRE),6-3 7-6(4) 7-6(5)
2022,Rafael Nadal (ESP),Daniil Medvedev,2-6 6-7(5) 6-4 6-4 7-5
2021,Novak Djokovic (SRB),Daniil Medvedev,7-5 6-2 6-2
2020,Novak Djokovic (SRB),Dominic Thiem (AUT),6-4 4-6 2-6 6-3 6-4
2019,Novak Djokovic (SRB),Rafael Nadal (ESP),6-3 6-2 6-3
2018,Roger Federer (SUI),Marin Cilic (CRO),6-2 6-7(5) 6-3 3-6 6-1
2017,Roger Federer (SUI),Rafael Nadal (ESP),6-4 3-6 6-1 3-6 6-3
2016,Novak Djokovic (SRB),Andy Murray (GBR),6-1 7-5 7-6(3)
2015,Novak Djokovic (SRB),Andy Murray (GBR),7-6(5) 6-7(4) 6-3 6-0
2014,Stan Wawrinka (SUI),Rafael Nadal (ESP),6-3 6-2 3-6 6-3
2013,Novak Djokovic (SRB),Andy Murray (GBR),6-7(2) 7-6(3) 6-3 6-2
2012,Novak Djokovic (SRB),Rafael Nadal (ESP),5-7 6-4 6-2 6-7(5) 7-5
2011,Novak Djokovic (SRB),Andy Murray (GBR),6-4 6-2 6-3
2010,Roger Federer (SUI),Andy Murray (GBR),6-3 6-4 7-6(11)
2009,Rafael Nadal (ESP),Roger Federer (SUI),7-5 3-6 7-6(3) 3-6 6-2
2008,Novak Djokovic (SRB),Jo-Wilfried Tsonga (FRA),4-6 6-4 6-3 7-6(2)
2007,Roger Federer (SUI),Fernando Gonzalez (CHI),7-6(2) 6-4 6-4
2006,Roger Federer (SUI),Marcos Baghdatis (CYP),5-7 7-5 6-0 6-2
2005,Marat Safin,Lleyton Hewitt (AUS),1-6 6-3 6-4 6-4
