country_original,iso_a3
AFG,AFG
AHO,AHO
ALB,ALB
ALG,ALG
AND,AND
ANG,ANG
ANT,ANT
ANZ,ANZ
ARG,ARG
ARM,ARM
ARU,ARU
ASA,ASA
AUS,AUS
AUT,AUT
AZE,AZE
BAH,BHS
BAN,BAN
BAR,BRB
BDI,BDI
BEL,BEL
BEN,BEN
BER,BMU
BGD,BGD
BGR,BGR
BIH,BIH
BIZ,BIZ
BLR,BLR
BOL,BOL
BOT,BOT
BRA,BRA
BRI,BRI
BRN,BRN
BRU,BRU
BUL,BGR
BUR,BUR
CAF,CAF
CAL,CAL
CAM,CAM
CAN,CAN
CAR,CAR
CAY,CAY
CEY,CEY
CGO,CGO
CHE,CHE
CHI,CHI
CHN,CHN
CIV,CIV
CMR,CMR
COD,COD
COK,COK
COL,COL
CPV,CPV
CRC,CRI
CRO,HRV
CUB,CUB
CUW,CUW
CYP,CYP
CZE,CZE
DEN,DEN
DEU,DEU
DNK,DNK
DOM,DOM
ECA,ECA
ECU,ECU
EGY,EGY
ERI,ERI
ESA,ESA
ESP,ESP
EST,EST
ETH,ETH
FIJ,FJI
FIN,FIN
FRA,FRA
FRG,DEU
GAB,GAB
GBR,GBR
GEO,GEO
GER,DEU
GHA,GHA
GRE,GRC
GRN,GRN
GUA,GUA
GUD,GUD
GUM,GUM
GUY,GUY
HAI,HAI
HAW,HAW
HKG,HKG
HON,HON
HUN,HUN
IDN,IDN
INA,INA
IND,IND
IRI,IRI
IRL,IRL
IRQ,IRQ
ISL,ISL
ISR,ISR
ISV,ISV
ITA,ITA
ITF,ITF
JAM,JAM
JOR,JOR
JPN,JPN
KAZ,KAZ
KEN,KEN
KGZ,KGZ
KOR,KOR
KSA,SAU
KUW,KUW
LAO,LAO
LAT,LAT
LBA,LBA
LBN,LBN
LBR,LBR
LCA,LCA
LES,LES
LIB,LIB
LIE,LIE
LTU,LTU
LUX,LUX
LVA,LVA
MAD,MAD
MAR,MAR
MAS,MAS
MDA,MDA
MEX,MEX
MGL,MGL
MHL,MHL
MKD,MKD
MLI,MLI
MLT,MLT
MNE,MNE
MON,MON
MOZ,MOZ
MRI,MRI
MRN,MRN
MTN,MTN
MYA,MYA
NAM,NAM
NCA,NCA
NED,NLD
NEP,NEP
NGR,NGR
NIG,NIG
NLD,NLD
NMI,NMI
NOR,NOR
NZL,NZL
OMA,OMA
PAK,PAK
PAN,PAN
PAR,PAR
PER,PER
PHI,PHI
PHL,PHL
PLW,PLW
PNG,PNG
POC,POC
POL,POL
POR,POR
PRT,PRT
PUR,PUR
QAT,QAT
REU,REU
RHO,RHO
ROU,ROU
RSA,ZAF
RUS,RUS
RWA,RWA
SAM,SAM
SCG,SRB
SEN,SEN
SEY,SEY
SGP,SGP
SIN,SIN
SLE,SLE
SLO,SVN
SMR,SMR
SOL,SOL
SRB,SRB
SRI,SRI
SUD,SUD
SUI,CHE
SUR,SUR
SVK,SVK
SWE,SWE
SWZ,SWZ
SYR,SYR
TAN,TZA
TCH,CZE
TGO,TGO
THA,THA
TJK,TJK
TKM,TKM
TKS,TKS
TOG,TOG
TPE,TWN
TRI,TRI
TTO,TTO
TUN,TUN
TUR,TUR
UAE,ARE
UGA,UGA
UKR,UKR
UNK,UNK
URS,URS
URU,URY
USA,USA
UZB,UZB
VAN,VAN
VEN,VEN
VIE,VNM
VIN,VIN
YEM,YEM
YUG,SRB
ZAF,ZAF
ZAM,ZAM
ZIM,ZWE
