Year,Champion,Runner-up,Score
2005,Rafael Nadal (1/14),Mariano Puerta,"6–7(6–8), 6–3, 6–1, 7–5"
2006,Rafael Nadal (2/14),Roger Federer,"1–6, 6–1, 6–4, 7–6(7–4)"
2007,Rafael Nadal (3/14),Roger Federer,"6–3, 4–6, 6–3, 6–4"
2008,Rafael Nadal (4/14),Roger Federer,"6–1, 6–3, 6–0"
2009,Roger Federer (1/1),Robin Söderling,"6–1, 7–6(7–1), 6–4"
2010,Rafael Nadal (5/14),Robin Söderling,"6–4, 6–2, 6–4"
2011,Rafael Nadal (6/14),Roger Federer,"7–5, 7–6(7–3), 5–7, 6–1"
2012,Rafael Nadal (7/14),Novak Djokovic,"6–4, 6–3, 2–6, 7–5"
2013,Rafael Nadal (8/14),David Ferrer,"6–3, 6–2, 6–3"
2014,Rafael Nadal (9/14),Novak Djokovic,"3–6, 7–5, 6–2, 6–4"
2015,Stan Wawrinka (1/1),Novak Djokovic,"4–6, 6–4, 6–3, 6–4"
2016,Novak Djokovic (1/3),Andy Murray,"3–6, 6–1, 6–2, 6–4"
2017,Rafael Nadal (10/14),Stan Wawrinka,"6–2, 6–3, 6–1"
2018,Rafael Nadal (11/14),Dominic Thiem,"6–4, 6–3, 6–2"
2019,Rafael Nadal (12/14),Dominic Thiem,"6–3, 5–7, 6–1, 6–1"
2020,Rafael Nadal (13/14),Novak Djokovic,"6–0, 6–2, 7–5"
2021,Novak Djokovic (2/3),Stefanos Tsitsipas,"6–7(6–8), 2–6, 6–3, 6–2, 6–4"
2022,Rafael Nadal (14/14),Casper Ruud,"6–3, 6–3, 6–0"
2023,Novak Djokovic (3/3),Casper Ruud,"7–6(7–1), 6–3, 7–5"
2024,Carlos Alcaraz (1/2),Alexander Zverev,"6–3, 2–6, 5–7, 6–1, 6–2"
2025,Carlos Alcaraz (2/2),Jannik Sinner,"4–6, 6–7(4–7), 6–4, 7–6(7–3), 7–6(10–2)"
