year,tournament,champion
2005,Australian Open,Marat Safin
2005,French Open,Rafael Nadal
2005,US Open,Roger Federer
2005,Wimbledon,Roger Federer
2006,Australian Open,Roger Federer
2006,French Open,Rafael Nadal
2006,US Open,Roger Federer
2006,Wimbledon,Roger Federer
2007,Australian Open,Roger Federer
2007,French Open,Rafael Nadal
2007,US Open,Roger Federer
2007,Wimbledon,Roger Federer
2008,Australian Open,Novak Djokovic
2008,French Open,Rafael Nadal
2008,US Open,Roger Federer
2008,Wimbledon,Rafael Nadal
2009,Australian Open,Rafael Nadal
2009,French Open,Roger Federer
2009,US Open,Juan Martín del Potro
2009,Wimbledon,Roger Federer
2010,Australian Open,Roger Federer
2010,French Open,Rafael Nadal
2010,US Open,Rafael Nadal
2010,Wimbledon,Rafael Nadal
2011,Australian Open,Novak Djokovic
2011,French Open,Rafael Nadal
2011,US Open,Novak Djokovic
2011,Wimbledon,Novak Djokovic
2012,Australian Open,Novak Djokovic
2012,French Open,Rafael Nadal
2012,US Open,Andy Murray
2012,Wimbledon,Roger Federer
2013,Australian Open,Novak Djokovic
2013,French Open,Rafael Nadal
2013,US Open,Rafael Nadal
2013,Wimbledon,Andy Murray
2014,Australian Open,Stan Wawrinka
2014,French Open,Rafael Nadal
2014,US Open,Marin Čilić
2014,Wimbledon,Novak Djokovic
2015,Australian Open,Novak Djokovic
2015,French Open,Stan Wawrinka
2015,US Open,Novak Djokovic
2015,Wimbledon,Novak Djokovic
2016,Australian Open,Novak Djokovic
2016,French Open,Novak Djokovic
2016,US Open,Stan Wawrinka
2016,Wimbledon,Andy Murray
2017,Australian Open,Roger Federer
2017,French Open,Rafael Nadal
2017,US Open,Rafael Nadal
2017,Wimbledon,Roger Federer
2018,Australian Open,Roger Federer
2018,French Open,Rafael Nadal
2018,US Open,Novak Djokovic
2018,Wimbledon,Novak Djokovic
2019,Australian Open,Novak Djokovic
2019,French Open,Rafael Nadal
2019,US Open,Rafael Nadal
2019,Wimbledon,Novak Djokovic
2020,Australian Open,Novak Djokovic
2020,French Open,Rafael Nadal
2020,US Open,Dominic Thiem
2021,Australian Open,Novak Djokovic
2021,French Open,Novak Djokovic
2021,US Open,Daniil Medvedev
2021,Wimbledon,Novak Djokovic
2022,Australian Open,Rafael Nadal
2022,French Open,Rafael Nadal
2022,US Open,Carlos Alcaraz
2022,Wimbledon,Novak Djokovic
2023,Australian Open,Novak Djokovic
2023,French Open,Novak Djokovic
2023,US Open,Novak Djokovic
2023,Wimbledon,Carlos Alcaraz
2024,Australian Open,Jannik Sinner
2024,French Open,Carlos Alcaraz
2024,US Open,Jannik Sinner
2024,Wimbledon,Carlos Alcaraz
2025,Australian Open,Jannik Sinner
2025,French Open,Carlos Alcaraz
2025,US Open,Carlos Alcaraz
2025,Wimbledon,Jannik Sinner
