name_first,name_last,hand,birthdate,country,gender
Gardnar,Mulloy,R,19131122,USA,male
Pancho,Segura,R,19210620,ECU,male
Frank,Sedgman,R,19271002,AUS,male
Giuseppe,Merlo,R,19271011,ITA,male
Richard Pancho,Gonzales,R,19280509,USA,male
Grant,Golden,R,19290821,USA,male
Abe,Segal,L,19301023,RSA,male
Kurt,Nielsen,R,19301119,DEN,male
Istvan,Gulyas,R,19311014,HUN,male
Luis,Ayala,R,19320918,CHI,male
Torben,Ulrich,L,19321004,DEN,male
Nicola,Pietrangeli,R,19330911,ITA,male
Neale,Fraser,L,19331003,AUS,male
Trevor,Fancutt,R,19340714,RSA,male
Sammy,Giammalva,R,19340801,USA,male
Ken,Rosewall,R,19341102,AUS,male
Mal,Anderson,R,19350303,AUS,male
Barry,Mackay,R,19350831,USA,male
Wieslaw,Gasiorek,R,19360113,POL,male
Alejandro,Olmedo,R,19360324,PER,male
Ashley,Cooper,R,19360915,AUS,male
Roy,Emerson,R,19361103,AUS,male
Ramanathan,Krishnan,R,19370411,IND,male
Jan Eric,Lundquist,R,19370414,SWE,male
Barry,Phillips Moore,R,19370709,AUS,male
Andres,Gimeno,R,19370803,ESP,male
Gene,Scott,R,19371228,USA,male
Manuel,Santana,R,19380510,ESP,male
Rod,Laver,L,19380809,AUS,male
Fred,Stolle,R,19381008,AUS,male
Dimitri,Sturdza,R,19381110,SUI,male
Patricio,Rodriguez Chi,R,19381220,CHI,male
Wilhelm,Bungert,R,19390401,GER,male
Christian,Kuhnke,R,19390413,GER,male
Ion,Tiriac,R,19390509,ROU,male
Rudy,Hernando,R,19390610,USA,male
Nikola,Pilic,L,19390827,CRO,male
Jaime,Pinto Bravo,R,19391009,CHI,male
Boro,Jovanovic,R,19391021,CRO,male
Bob,Hewitt,R,19400112,RSA,male
Ned,Neely,R,19400114,USA,male
Ryoichi,Mori,R,19400114,JPN,male
Zdenek,Slizek,R,19400219,CZE,male
Sergei,Likhachev,R,19400320,RUS,male
John,Paish,L,19400323,GBR,male
Larry,Nagler,R,19400701,USA,male
Bob,Carmichael,R,19400704,AUS,male
