id,players,country_name
840,14518,United States
826,5802,United Kingdom
36,4109,Australia
724,3774,Spain
380,3540,Italy
250,3362,France
76,2550,Brazil
32,2249,Argentina
392,2229,Japan
643,2018,Russia
484,1797,Mexico
356,1563,India
124,1381,Canada
752,1273,Sweden
203,1240,Czech Republic
642,1186,Romania
40,996,Austria
156,966,China
616,933,Poland
152,799,Chile
804,739,Ukraine
703,665,Slovakia
792,663,Turkey
554,553,New Zealand
348,542,Hungary
372,539,Ireland
246,450,Finland
860,382,Uzbekistan
604,358,Peru
112,325,Belarus
578,284,Norway
398,261,Kazakhstan
268,208,Georgia
233,149,Estonia
440,128,Lithuania
442,122,Luxembourg
498,82,Moldova
51,70,Armenia
417,37,Kyrgyzstan
795,32,Turkmenistan
31,28,Azerbaijan
762,20,Tajikistan
528,18,Netherlands
100,12,Bulgaria
710,9,South Africa
428,4,Latvia
756,4,Switzerland
276,3,Germany
208,1,Denmark
