player,surface,titles
Jannik Sinner,Hard,3
Jannik Sinner,Grass,1
Novak Djokovic,Hard,14
Novak Djokovic,Clay,3
Novak Djokovic,Grass,7
Rafael Nadal,Hard,6
Rafael Nadal,Clay,14
Rafael Nadal,Grass,2
Roger Federer,Hard,9
Roger Federer,Clay,1
Roger Federer,Grass,6
Stan Wawrinka,Hard,2
Stan Wawrinka,Clay,1
Marat Safin,Hard,1
Carlos Alcaraz,Clay,2
Carlos Alcaraz,Grass,2
Carlos Alcaraz,Hard,2
Andy Murray,Grass,2
Andy Murray,Hard,1
Juan Martín del Potro,Hard,1
Marin Čilić,Hard,1
Dominic Thiem,Hard,1
Daniil Medvedev,Hard,1
