source,target,value
Roger Federer,Australian Open,5
Roger Federer,French Open,1
Roger Federer,Wimbledon,6
Roger Federer,US Open,4
Rafael Nadal,Australian Open,2
Rafael Nadal,French Open,14
Rafael Nadal,Wimbledon,2
Rafael Nadal,US Open,4
Novak Djokovic,Australian Open,10
Novak Djokovic,French Open,3
Novak Djokovic,Wimbledon,7
Novak Djokovic,US Open,4
Carlos Alcaraz,French Open,2
Carlos Alcaraz,Wimbledon,2
Carlos Alcaraz,US Open,2
Jannik Sinner,Australian Open,2
Jannik Sinner,Wimbledon,1
Jannik Sinner,US Open,1
