Year,Champion,Runner-up,Score
2005,Roger Federer (2/5),Andre Agassi,"6–3, 2–6, 7–6(7–1), 6–1"
2006,Roger Federer (3/5),Andy Roddick,"6–2, 4–6, 7–5, 6–1"
2007,Roger Federer (4/5),Novak Djokovic,"7–6(7–4), 7–6(7–2), 6–4"
2008,Roger Federer (5/5),Andy Murray,"6–2, 7–5, 6–2"
2009,Juan Martín del Potro (1/1),Roger Federer,"3–6, 7–6(7–5), 4–6, 7–6(7–4), 6–2"
2010,Rafael Nadal (1/4),Novak Djokovic,"6–4, 5–7, 6–4, 6–2"
2011,Novak Djokovic (1/4),Rafael Nadal,"6–2, 6–4, 6–7(3–7), 6–1"
2012,Andy Murray (1/1),Novak Djokovic,"7–6(12–10), 7–5, 2–6, 3–6, 6–2"
2013,Rafael Nadal (2/4),Novak Djokovic,"6–2, 3–6, 6–4, 6–1"
2014,Marin Čilić (1/1),Kei Nishikori,"6–3, 6–3, 6–3"
2015,Novak Djokovic (2/4),Roger Federer,"6–4, 5–7, 6–4, 6–4"
2016,Stan Wawrinka (1/1),Novak Djokovic,"6–7(1–7), 6–4, 7–5, 6–3"
2017,Rafael Nadal (3/4),Kevin Anderson,"6–3, 6–3, 6–4"
2018,Novak Djokovic (3/4),Juan Martín del Potro,"6–3, 7–6(7–4), 6–3"
2019,Rafael Nadal (4/4),Daniil Medvedev,"7–5, 6–3, 5–7, 4–6, 6–4"
2020,Dominic Thiem (1/1),Alexander Zverev,"2–6, 4–6, 6–4, 6–3, 7–6(8–6)"
2021,Daniil Medvedev (1/1),Novak Djokovic,"6–4, 6–4, 6–4"
2022,Carlos Alcaraz (1/2),Casper Ruud,"6–4, 2–6, 7–6(7–1), 6–3"
2023,Novak Djokovic (4/4),Daniil Medvedev,"6–3, 7–6(7–5), 6–3"
2024,Jannik Sinner (1/1),Taylor Fritz,"6–3, 6–4, 7–5"
2025,Carlos Alcaraz (2/2),Jannik Sinner,"6–2, 3–6, 6–1, 6–4"
