,23079
1834,1
1835,1
1836,2
1840,2
1841,3
1842,1
1843,2
1844,1
1845,2
1846,3
1847,4
1848,2
1849,4
1850,6
1851,4
1852,6
1853,4
1854,3
1855,6
1856,3
1857,4
1858,9
1859,11
1860,15
1861,8
1862,6
1863,6
1864,8
1865,9
1866,5
1867,17
1868,14
1869,8
1870,9
1871,6
1872,9
1873,14
1874,12
1875,10
1876,9
1877,11
1878,10
1879,16
1880,11
1881,12
1882,9
1883,11
1884,10
1885,13
1886,15
1887,8
1888,11
1889,12
1890,18
1891,10
1892,7
1893,10
1894,13
1895,15
1896,19
1897,9
1898,10
1899,15
1900,9
1901,15
1902,11
1903,17
1904,17
1905,15
1906,16
1907,11
1908,24
1909,29
1910,22
1911,34
1912,27
1913,23
1914,17
1915,33
1916,34
1917,27
1918,28
1919,32
1920,32
1921,36
1922,42
1923,31
1924,34
1925,35
1926,29
1927,38
1928,45
1929,35
1930,36
1931,42
1932,38
1933,44
1934,59
1935,44
1936,44
1937,49
1938,46
1939,61
1940,60
1941,60
1942,73
1943,68
1944,79
1945,87
1946,91
1947,99
1948,93
1949,108
1950,103
1951,101
1952,98
1953,101
1954,118
1955,140
1956,156
1957,144
1958,174
1959,182
1960,200
1961,223
1962,281
1963,295
1964,327
1965,354
1966,374
1967,456
1968,553
1969,631
1970,725
1971,802
1972,890
1973,930
1974,1028
1975,1132
1976,1220
1977,1354
1978,1479
1979,1584
1980,1783
1981,1923
1982,2124
1983,2152
1984,2176
1985,2103
1986,2001
1987,1994
1988,2152
1989,2115
1990,2211
1991,2257
1992,2456
1993,2590
1994,2678
1995,2662
1996,2415
1997,2136
1998,1839
1999,1676
2000,1485
2001,1012
2002,585
2003,285
2004,90
2005,10
